DATE (MM/DD/YYYY),HOUR-MST,Avg Tower Dry Bulb Temp [deg C],Avg Tower RH [%],Avg Avg Wind Speed @ 6ft [m/s],Avg Station Pressure [mBar],Avg Precipitation [mm],Avg Global CMP22 (vent/cor) [W/m^2]
5/23/20,1:00,15.1878,41.2698,1.8234,809.3196,0,-1.1105
5/23/20,2:00,13.693,34.9078,1.6576,809.4954,0,-1.0612
5/23/20,3:00,12.9205,31.6947,1.4505,809.4296,0,-1.0583
5/23/20,4:00,12.4677,32.6388,1.1049,809.7083,0,-1.0685
5/23/20,5:00,12.4422,30.9483,1.8415,809.7156,0,2.7832
5/23/20,6:00,12.0758,28.5708,1.1787,809.864,0,53.5739
5/23/20,7:00,14.0672,27.8545,0.5243,809.7005,0,253.6876
5/23/20,8:00,16.1558,35.4917,1.8909,809.4094,0,467.4502
5/23/20,9:00,17.3957,40.2343,1.6314,809.2789,0,712.6109
5/23/20,10:00,19.5538,38.5043,1.7922,809.0369,0,878.347
5/23/20,11:00,21.8127,27.2078,2.355,808.5963,0,841.1904
5/23/20,12:00,23.0215,17.9658,2.8544,808.0811,0,767.7
5/23/20,13:00,23.6872,16.5263,2.3506,807.6925,0,678.0933
5/23/20,14:00,23.548,17.7233,2.4744,807.6075,0,555.9395
5/23/20,15:00,24.0218,16.421,2.4329,807.3549,0,537.014
5/23/20,16:00,22.0575,22.9067,3.5643,807.2437,0,315.608
5/23/20,17:00,20.8297,23.1138,2.5655,807.719,0,95.5645
5/23/20,18:00,20.1957,23.0417,2.1982,808.3172,0,89.8455
5/23/20,19:00,19.2028,24.0778,3.0212,809.2132,0,29.8837
5/23/20,20:00,18.144,25.7558,3.0481,809.7672,0,2.3369
5/23/20,21:00,16.2443,39.486,3.7435,811.1502,0,-0.7847
5/23/20,22:00,13.9822,51.6147,3.0162,812.7292,0,-0.7369
5/23/20,23:00,12.5733,57.3922,1.6345,813.3062,0,-0.8592
5/24/20,0:00,11.1278,59.6152,2.4048,814.32,0,-0.8738
5/24/20,1:00,9.8697,70.6775,0.8164,814.6302,0,-1.0262
5/24/20,2:00,9.7063,69.7488,0.3993,814.9022,0,-0.9608
5/24/20,3:00,9.4833,68.0953,0.9126,814.8807,0,-0.9104
5/24/20,4:00,9.0922,64.3525,0.7677,815.1675,0,-1.0036
5/24/20,5:00,9.2113,72.2005,0.7778,815.3996,0,3.0812
5/24/20,6:00,8.4552,84.2133,1.6408,815.7817,0,39.7373
5/24/20,7:00,9.3525,81.9143,0.5238,815.9205,0,162.7414
5/24/20,8:00,10.8053,72.5108,0.3158,815.7737,0,305.9972
5/24/20,9:00,10.6837,75.5867,1.2014,815.6122,0,159.3441
5/24/20,10:00,9.9427,80.9015,0.3193,815.6347,0.0042,218.1636
5/24/20,11:00,10.8953,76.3457,0.662,815.3443,0,371.6941
5/24/20,12:00,11.8905,63.4425,0.8423,814.7966,0,443.8282
5/24/20,13:00,11.0348,69.1322,1.0798,814.4693,0,95.9688
5/24/20,14:00,6.8562,88.5078,3.6941,815.4134,0.1228,14.9276
5/24/20,15:00,6.2472,95.1,2.0098,815.6156,0.1397,21.7857
5/24/20,16:00,6.4985,95.3517,0.9587,816.3082,0.0847,14.5255
5/24/20,17:00,5.8415,99.055,1.4491,817.0369,0.0847,9.8862
5/24/20,18:00,5.5746,99.975,0.4716,817.1718,0.0339,21.4335
5/24/20,19:00,5.9799,99.15,0.381,817.5539,0,7.6803
5/24/20,20:00,5.9935,99.1283,0.1802,818.1647,0,-0.693
5/24/20,21:00,6.0009,94.2717,1.2847,818.1593,0,-0.9758
5/24/20,22:00,6.012,88.4433,1.1442,818.484,0,-0.9305
5/24/20,23:00,6.4119,82.3863,1.5792,818.3259,0,-0.6398
5/25/20,0:00,6.5979,80.3118,2.2845,818.0162,0,-0.1896
5/25/20,1:00,6.271,77.1042,1.8772,818.1728,0,-0.0837
5/25/20,2:00,5.7637,76.1378,1.7359,818.5992,0,-0.2844
5/25/20,3:00,5.4264,77.764,2.0792,818.7302,0,-0.5099
5/25/20,4:00,5.2307,76.8242,1.983,819.1229,0,-0.8264
5/25/20,5:00,5.0719,77.8113,1.2622,819.5111,0,4.0077
5/25/20,6:00,4.9959,79.9723,1.4459,819.8311,0,49.2817
5/25/20,7:00,6.9447,73.7645,1.2476,819.7285,0,235.4887
5/25/20,8:00,8.9303,65.2465,1.0629,819.6963,0,468.8372
5/25/20,9:00,10.0213,61.7832,0.6491,819.4134,0.0042,707.2714
5/25/20,10:00,12.1155,55.5238,1.5292,819.0347,0.0042,868.9528
5/25/20,11:00,13.3642,47.8803,2.7749,819.0864,0,805.9391
5/25/20,12:00,14.0447,43.3817,1.7014,818.8488,0,1012.7366
5/25/20,13:00,14.4667,43.0355,1.8416,818.5542,0,657.9189
5/25/20,14:00,15.315,41.686,2.196,818.2121,0,655.2962
5/25/20,15:00,15.4315,41.1448,2.4684,818.033,0,583.014
5/25/20,16:00,15.679,38.165,1.2191,817.9395,0,487.1253
5/25/20,17:00,15.5898,39.4465,1.4355,817.8936,0,371.4334
5/25/20,18:00,14.4278,41.765,1.4299,817.9924,0,130.0201
5/25/20,19:00,14.5625,41.326,0.3526,818.2763,0,86.0267
5/25/20,20:00,11.6853,50.9742,1.2884,818.7033,0,2.4411
5/25/20,21:00,10.4158,56.9612,1.9006,818.9649,0,-0.9724
5/25/20,22:00,10.1172,58.2305,2.0444,819.2737,0,-0.9622
5/25/20,23:00,9.6232,59.7993,2.1661,819.0551,0,-0.978
5/26/20,0:00,9.3512,59.5978,0.3205,818.7173,0,-1.0188
5/26/20,1:00,9.4448,55.0993,1.608,818.2933,0,-1.0317
5/26/20,2:00,8.7179,52.5692,1.9203,817.5921,0,-0.9883
5/26/20,3:00,9.1715,44.4475,2.8356,817.0259,0,-1.0689
5/26/20,4:00,9.106,42.8412,3.6178,816.9029,0,-0.9655
5/26/20,5:00,8.6473,43.6912,2.1196,817.0649,0,6.0817
5/26/20,6:00,9.1593,43.4692,1.0989,817.3641,0,117.1999
5/26/20,7:00,11.8245,42.5262,0.3737,817.463,0,313.3915
5/26/20,8:00,14.9077,39.9892,1.7819,817.6365,0,519.8301
5/26/20,9:00,16.9027,36.5,2.0367,817.5479,0,701.867
5/26/20,10:00,18.559,31.0267,1.619,817.1209,0,764.3079
5/26/20,11:00,20.3617,27.0105,1.9024,816.7417,0,961.0132
5/26/20,12:00,21.5293,25.9888,1.6665,816.3877,0,1014.5436
5/26/20,13:00,22.556,25.7557,2.2165,815.9676,0,1013.3848
5/26/20,14:00,22.4605,26.1292,2.6186,815.9347,0,806.9735
5/26/20,15:00,23.2847,25.2715,2.8881,816.0395,0,859.8191
5/26/20,16:00,23.2015,25.3837,2.3426,815.9535,0,678.2555
5/26/20,17:00,23.2107,25.6533,1.8093,816.0691,0,492.003
5/26/20,18:00,22.8758,26.2667,1.0287,816.2153,0,265.1768
5/26/20,19:00,20.5718,30.802,0.9735,816.5677,0,35.412
