Datetime,Solar generation (MWh)
07/2/2018 00H,8358
07/2/2018 01H,6331
07/2/2018 02H,2559
07/2/2018 03H,424
07/2/2018 04H,417
07/2/2018 05H,0
07/2/2018 06H,0
07/2/2018 07H,0
07/2/2018 08H,0
07/2/2018 09H,0
07/2/2018 10H,0
07/2/2018 11H,0
07/2/2018 12H,0
07/2/2018 13H,237
07/2/2018 14H,3271
07/2/2018 15H,7020
07/2/2018 16H,8722
07/2/2018 17H,9505
07/2/2018 18H,10166
07/2/2018 19H,10355
07/2/2018 20H,10343
07/2/2018 21H,10268
07/2/2018 22H,9965
07/2/2018 23H,9378
07/3/2018 00H,8371
07/3/2018 01H,6309
07/3/2018 02H,2330
07/3/2018 03H,54
07/3/2018 04H,49
07/3/2018 05H,0
07/3/2018 06H,0
07/3/2018 07H,0
07/3/2018 08H,0
07/3/2018 09H,0
07/3/2018 10H,0
07/3/2018 11H,0
07/3/2018 12H,0
07/3/2018 13H,210
07/3/2018 14H,3131
07/3/2018 15H,7074
07/3/2018 16H,8843
07/3/2018 17H,9713
07/3/2018 18H,10145
07/3/2018 19H,10375
07/3/2018 20H,10409
07/3/2018 21H,10342
07/3/2018 22H,10002
07/3/2018 23H,9449
07/4/2018 00H,8409
07/4/2018 01H,6250
07/4/2018 02H,2257
07/4/2018 03H,59
07/4/2018 04H,53
07/4/2018 05H,0
07/4/2018 06H,0
07/4/2018 07H,0
07/4/2018 08H,0
07/4/2018 09H,0
07/4/2018 10H,0
07/4/2018 11H,0
07/4/2018 12H,0
07/4/2018 13H,158
07/4/2018 14H,3176
07/4/2018 15H,7063
07/4/2018 16H,8927
07/4/2018 17H,9736
07/4/2018 18H,10070
07/4/2018 19H,10377
07/4/2018 20H,10396
07/4/2018 21H,10139
07/4/2018 22H,9959
07/4/2018 23H,9452
07/5/2018 00H,8426
07/5/2018 01H,6268
07/5/2018 02H,2330
07/5/2018 03H,36
07/5/2018 04H,31
07/5/2018 05H,0
07/5/2018 06H,0
07/5/2018 07H,0
07/5/2018 08H,0
07/5/2018 09H,0
07/5/2018 10H,0
07/5/2018 11H,0
07/5/2018 12H,0
07/5/2018 13H,213
07/5/2018 14H,3462
07/5/2018 15H,7013
07/5/2018 16H,8949
07/5/2018 17H,9682
07/5/2018 18H,10104
07/5/2018 19H,10089
07/5/2018 20H,10241
07/5/2018 21H,10095
07/5/2018 22H,9427
07/5/2018 23H,9041
07/6/2018 00H,7779
07/6/2018 01H,4974
07/6/2018 02H,1843
07/6/2018 03H,52
07/6/2018 04H,47
07/6/2018 05H,0
07/6/2018 06H,0
07/6/2018 07H,0
07/6/2018 08H,0
07/6/2018 09H,0
07/6/2018 10H,0
07/6/2018 11H,0
07/6/2018 12H,0
07/6/2018 13H,135
07/6/2018 14H,2813
07/6/2018 15H,6206
07/6/2018 16H,7983
07/6/2018 17H,8901
07/6/2018 18H,9431
07/6/2018 19H,9578
07/6/2018 20H,9511
07/6/2018 21H,9402
07/6/2018 22H,8785
07/6/2018 23H,8766
07/7/2018 00H,7885
07/7/2018 01H,5637
07/7/2018 02H,2027
07/7/2018 03H,15
07/7/2018 04H,12
07/7/2018 05H,0
07/7/2018 06H,0
07/7/2018 07H,0
07/7/2018 08H,0
07/7/2018 09H,0
07/7/2018 10H,0
07/7/2018 11H,0
07/7/2018 12H,0
07/7/2018 13H,85
07/7/2018 14H,1849
07/7/2018 15H,4712
07/7/2018 16H,6948
07/7/2018 17H,7744
07/7/2018 18H,8599
07/7/2018 19H,8894
07/7/2018 20H,8700
07/7/2018 21H,8248
07/7/2018 22H,7716
07/7/2018 23H,6409
07/8/2018 00H,6363
07/8/2018 01H,4254
07/8/2018 02H,1371
07/8/2018 03H,12
07/8/2018 04H,6
07/8/2018 05H,0
07/8/2018 06H,0
07/8/2018 07H,0
07/8/2018 08H,0
07/8/2018 09H,0
07/8/2018 10H,0
07/8/2018 11H,0
07/8/2018 12H,0
07/8/2018 13H,63
07/8/2018 14H,2435
07/8/2018 15H,5459
07/8/2018 16H,7878
07/8/2018 17H,8930
07/8/2018 18H,9358
07/8/2018 19H,9261
07/8/2018 20H,8115
07/8/2018 21H,7953
07/8/2018 22H,7959
07/8/2018 23H,7708
07/9/2018 00H,6792
07/9/2018 01H,4900
07/9/2018 02H,1742
07/9/2018 03H,-8
07/9/2018 04H,-8
07/9/2018 05H,0
07/9/2018 06H,0
07/9/2018 07H,0
07/9/2018 08H,503
07/9/2018 09H,504
07/9/2018 10H,403
07/9/2018 11H,382
07/9/2018 12H,420
07/9/2018 13H,452
07/9/2018 14H,2096
07/9/2018 15H,4843
07/9/2018 16H,6965
07/9/2018 17H,7405
07/9/2018 18H,8440
07/9/2018 19H,9063
07/9/2018 20H,8388
07/9/2018 21H,7716
07/9/2018 22H,8116
07/9/2018 23H,7713
07/10/2018 00H,7055
07/10/2018 01H,5093
07/10/2018 02H,1977
07/10/2018 03H,450
07/10/2018 04H,449
07/10/2018 05H,447
07/10/2018 06H,443
07/10/2018 07H,449
07/10/2018 08H,4
07/10/2018 09H,4
07/10/2018 10H,4
07/10/2018 11H,4
07/10/2018 12H,3
07/10/2018 13H,100
07/10/2018 14H,1616
07/10/2018 15H,4230
07/10/2018 16H,6267
07/10/2018 17H,8218
07/10/2018 18H,9685
07/10/2018 19H,10078
07/10/2018 20H,9490
07/10/2018 21H,8978
07/10/2018 22H,9526
07/10/2018 23H,9664
07/11/2018 00H,8251
07/11/2018 01H,5727
07/11/2018 02H,2207
07/11/2018 03H,61
07/11/2018 04H,8
07/11/2018 05H,6
07/11/2018 06H,5
07/11/2018 07H,5
07/11/2018 08H,5
07/11/2018 09H,5
07/11/2018 10H,5
07/11/2018 11H,5
07/11/2018 12H,5
07/11/2018 13H,52
07/11/2018 14H,2243
07/11/2018 15H,4694
07/11/2018 16H,6402
07/11/2018 17H,8081
07/11/2018 18H,8066
07/11/2018 19H,9474
07/11/2018 20H,10205
07/11/2018 21H,9885
07/11/2018 22H,8770
07/11/2018 23H,7236
07/12/2018 00H,5486
07/12/2018 01H,4137
07/12/2018 02H,1907
07/12/2018 03H,263
07/12/2018 04H,155
07/12/2018 05H,155
07/12/2018 06H,154
07/12/2018 07H,154
07/12/2018 08H,153
07/12/2018 09H,153
07/12/2018 10H,152
07/12/2018 11H,151
07/12/2018 12H,149
07/12/2018 13H,89
07/12/2018 14H,1475
07/12/2018 15H,4721
07/12/2018 16H,6748
07/12/2018 17H,7617
07/12/2018 18H,7646
07/12/2018 19H,9108
07/12/2018 20H,9550
07/12/2018 21H,9140
07/12/2018 22H,8942
07/12/2018 23H,8229
07/13/2018 00H,6773
07/13/2018 01H,4713
07/13/2018 02H,1626
07/13/2018 03H,79
07/13/2018 04H,6
07/13/2018 05H,149
07/13/2018 06H,149
07/13/2018 07H,149
07/13/2018 08H,149
07/13/2018 09H,149
07/13/2018 10H,148
07/13/2018 11H,147
07/13/2018 12H,145
07/13/2018 13H,64
07/13/2018 14H,2005
07/13/2018 15H,5730
07/13/2018 16H,8253
07/13/2018 17H,9615
07/13/2018 18H,10502
07/13/2018 19H,11008
07/13/2018 20H,10574
07/13/2018 21H,10343
07/13/2018 22H,9685
07/13/2018 23H,8778
07/14/2018 00H,7662
07/14/2018 01H,5803
07/14/2018 02H,2075
07/14/2018 03H,88
07/14/2018 04H,7
07/14/2018 05H,7
07/14/2018 06H,6
07/14/2018 07H,6
07/14/2018 08H,5
07/14/2018 09H,4
07/14/2018 10H,3
07/14/2018 11H,3
07/14/2018 12H,3
07/14/2018 13H,50
07/14/2018 14H,2562
07/14/2018 15H,6732
07/14/2018 16H,8784
07/14/2018 17H,10172
07/14/2018 18H,10896
07/14/2018 19H,11015
07/14/2018 20H,10628
07/14/2018 21H,10375
07/14/2018 22H,9650
07/14/2018 23H,9426
07/15/2018 00H,8151
07/15/2018 01H,5977
07/15/2018 02H,2307
07/15/2018 03H,1941
07/15/2018 04H,7
07/15/2018 05H,6
07/15/2018 06H,5
07/15/2018 07H,5
07/15/2018 08H,4
07/15/2018 09H,4
07/15/2018 10H,4
07/15/2018 11H,4
