"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"5/18/2021 12 a.m. PDT",5109,3,2553,689,87,8432,817,2274
CAL,"5/18/2021 1 a.m. PDT",4876,3,1869,640,88,8185,748,2274
CAL,"5/18/2021 2 a.m. PDT",4895,3,1971,660,88,6910,687,2274
CAL,"5/18/2021 3 a.m. PDT",4845,-6,1668,836,87,6485,637,2273
CAL,"5/18/2021 4 a.m. PDT",4910,-7,1886,806,88,6344,615,2274
CAL,"5/18/2021 5 a.m. PDT",4846,2,2145,686,88,6687,613,2274
CAL,"5/18/2021 6 a.m. PDT",4579,300,2406,942,87,7592,603,2275
CAL,"5/18/2021 7 a.m. PDT",4463,4577,2009,774,87,6776,602,2274
CAL,"5/18/2021 8 a.m. PDT",4389,9562,1061,723,88,5770,596,2274
CAL,"5/18/2021 9 a.m. PDT",4058,11193,648,600,88,6027,594,2274
CAL,"5/18/2021 10 a.m. PDT",3898,11791,602,584,86,6203,587,2274
CAL,"5/18/2021 11 a.m. PDT",3945,12692,521,579,88,5961,584,2274
CAL,"5/18/2021 12 p.m. PDT",3907,12936,496,569,87,5889,582,2275
CAL,"5/18/2021 1 p.m. PDT",4336,13450,504,606,88,6133,583,2278
CAL,"5/18/2021 2 p.m. PDT",4589,13651,1080,614,87,5913,586,2276
CAL,"5/18/2021 3 p.m. PDT",4661,13694,1471,556,88,5684,584,2277
CAL,"5/18/2021 4 p.m. PDT",4551,13041,1788,599,88,5613,591,2276
CAL,"5/18/2021 5 p.m. PDT",4968,11391,2141,624,88,6615,598,2278
CAL,"5/18/2021 6 p.m. PDT",4542,8222,2859,693,88,7277,631,2277
CAL,"5/18/2021 7 p.m. PDT",4481,2259,4210,780,88,9822,711,2279
CAL,"5/18/2021 8 p.m. PDT",4490,1824,4922,992,87,11117,1016,2280
CAL,"5/18/2021 9 p.m. PDT",4398,3,4288,1013,87,10431,1392,2279
CAL,"5/18/2021 10 p.m. PDT",4524,2,3572,840,87,9591,1678,2277
CAL,"5/18/2021 11 p.m. PDT",4786,2,3111,787,87,8688,1646,2278
CAL,"5/19/2021 12 a.m. PDT",4412,2,2198,887,88,8196,1338,2277
CAL,"5/19/2021 1 a.m. PDT",4805,2,1829,908,88,8018,1215,2278
CAL,"5/19/2021 2 a.m. PDT",4815,2,1695,693,88,8018,872,2276
CAL,"5/19/2021 3 a.m. PDT",4774,-6,1666,886,88,7699,671,2278
CAL,"5/19/2021 4 a.m. PDT",4591,3,1909,855,89,7850,636,2277
CAL,"5/19/2021 5 a.m. PDT",4469,2,1829,765,88,8349,794,2277
CAL,"5/19/2021 6 a.m. PDT",4911,355,2105,742,89,8140,897,2277
CAL,"5/19/2021 7 a.m. PDT",4641,4943,2333,744,88,6839,870,2277
CAL,"5/19/2021 8 a.m. PDT",4626,10167,1355,683,88,5464,800,2277
CAL,"5/19/2021 9 a.m. PDT",4279,12196,842,603,89,5549,747,2278
CAL,"5/19/2021 10 a.m. PDT",4509,12840,461,597,88,6011,736,2278
CAL,"5/19/2021 11 a.m. PDT",4409,13880,386,589,89,5896,623,2279
CAL,"5/19/2021 12 p.m. PDT",4457,14041,556,584,89,5769,640,2279
CAL,"5/19/2021 1 p.m. PDT",4628,13986,546,624,89,5635,619,2278
CAL,"5/19/2021 2 p.m. PDT",5193,13771,593,583,88,5667,608,2279
CAL,"5/19/2021 3 p.m. PDT",5493,13470,872,551,89,5993,616,2281
CAL,"5/19/2021 4 p.m. PDT",5301,12809,1504,634,88,6724,615,2280
CAL,"5/19/2021 5 p.m. PDT",5550,11533,1566,629,89,8069,615,2282
CAL,"5/19/2021 6 p.m. PDT",5119,8101,2807,546,89,8196,646,2281
CAL,"5/19/2021 7 p.m. PDT",4894,2238,3898,778,89,10970,705,2281
CAL,"5/19/2021 8 p.m. PDT",4644,1748,4465,956,88,12033,899,2280
CAL,"5/19/2021 9 p.m. PDT",4310,4,4592,907,88,12152,1246,2281
CAL,"5/19/2021 10 p.m. PDT",4477,3,3413,808,89,11752,1500,2283
CAL,"5/19/2021 11 p.m. PDT",4830,3,2601,839,88,10651,1411,2285
CAL,"5/20/2021 12 a.m. PDT",5460,3,1725,747,88,9563,1123,2281
CAL,"5/20/2021 1 a.m. PDT",5554,3,1536,729,88,8260,933,2281
CAL,"5/20/2021 2 a.m. PDT",5298,4,1350,685,89,7865,797,2282
CAL,"5/20/2021 3 a.m. PDT",5165,4,1294,647,89,7523,682,2282
CAL,"5/20/2021 4 a.m. PDT",5020,3,1321,625,89,7699,699,2281
CAL,"5/20/2021 5 a.m. PDT",4771,3,1853,629,89,8187,607,2283
CAL,"5/20/2021 6 a.m. PDT",4675,410,2112,719,88,8326,623,2284
CAL,"5/20/2021 7 a.m. PDT",4524,5288,1813,734,89,7049,723,2282
CAL,"5/20/2021 8 a.m. PDT",4413,9980,1376,622,59,6323,724,2282
CAL,"5/20/2021 9 a.m. PDT",4280,12142,1054,597,54,5533,726,2282
CAL,"5/20/2021 10 a.m. PDT",4292,12796,911,589,54,5469,726,2282
CAL,"5/20/2021 11 a.m. PDT",4411,12956,797,585,54,5421,722,2282
CAL,"5/20/2021 12 p.m. PDT",4516,12459,680,589,54,5437,606,2281
